Id,Universidad,Link,Link Transparencia,Presupuesto,,,,Fuente1,Fuente 2
,,,,Salud,Educación y Cultura,Ciencia y Técnica,Total,,
1,ALTO URUGUAY,https://www.unau.edu.ar/,,0,105895977,738302,106634279,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
2,ARTES,www.iuna.edu.ar,,0,1980048764,5758664,1985807428,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
3,ARTURO JAURETCHE,www.unaj.edu.ar,,11980887,1155141401,737356,1167859644,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
4,AUTÓNOMA DE ENTRE RÍOS,www.uader.edu.ar,,,,,,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
5,AVELLANEDA,www.undav.edu.ar,,0,842100634,737356,842837990,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
6,BUENOS AIRES,www.uba.ar,,1760969512,3.32E+14,99797372,3.51E+14,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
7,CATAMARCA,www.unca.edu.ar,,,2603914722,9544214,2613458936,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
8,CENTRO,www.unicen.edu.ar,,15745160,2968413178,11427634,2995585972,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
9,CHACO AUSTRAL,www.uncaus.edu.ar,,12053389,506515275,2573385,521142049,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
10,CHILECITO,www.undec.edu.ar,,,778544797,3276156,781820953,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
11,COMAHUE,www.uncoma.edu.ar,,18241230,3944918277,13706824,3976866331,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
12,COMECHINGONES,www.unlc.edu.ar,,,,,,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
13,CÓRDOBA,www.unc.edu.ar,,350329144,1.32E+14,41368480,1.36E+14,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
14,CUYO,www.uncu.edu.ar,,117342388,7632439065,23384107,7773165560,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
15,ENTRE RÍOS,www.uner.edu.ar,,0,2340098501,7311786,2347410287,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
16,FORMOSA,www.unf.edu.ar,,0,1491615705,5087857,1496703562,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
17,GRAL. SARMIENTO,www.ungs.edu.ar,,0,1251200887,4411805,1255612692,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
18,GUILLERMO BROWN,www.unab.edu.ar,,0,105262070,725071,105987141,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
19,HURLINGHAM,http://unahur.edu.ar/,,0,615503485,724962,616228447,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
20,I. U. PATAGÓNICO DE LAS ARTES,http://iupa.edu.ar/,,,,,,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
21,I.U GENDARMERIA NACIONAL,http://www.iugna.edu.ar,,,,,,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
22,I.U.DE SEGURIDAD MARITIMA,http://www.prefecturanaval.gov.ar/,,,,,,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
23,I.U.N.DD.HH MADRES DE PLAZA DE MAYO,www.iunma.edu.ar,,,,,,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
24,I.U.POLICÍA FEDERAL ARGENTINA,www.universidad-policial.edu.ar,,,,,,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
